Metabolites,Group,O1_LI_1cm,O1_LI_10cm,O2_LI_1cm,O2_LI_10cm,Y1_LI_1cm,Y1_LI_10cm,Y2_LI_1cm,Y2_LI_10cm,O1_LI_37cm,O1_LI_46cm,O1_LI_55cm,O2_LI_37cm,O2_LI_46cm,O2_LI_55cm,Y1_LI_37cm,Y1_LI_46cm,Y1_LI_55cm,Y2_LI_37cm,Y2_LI_46cm,Y2_LI_55cm,O1_SI_81cm,O2_SI_121cm,Y1_SI_85cm,Y1_SI_113cm,Y2_SI_57cm,Y2_SI_113cm,O1_SI_161cm,O1_SI_201cm,O2_SI_145cm,Y1_SI_137cm,Y2_SI_141cm,Y2_SI_169cm,O1_LI_19cm,O1_LI_28cm,O2_LI_19cm,O2_LI_28cm,Y1_LI_19cm,Y1_LI_28cm,Y2_LI_19cm,Y2_LI_28cm,O1_SI_1cm,O1_SI_41cm,O2_SI_49cm,Y1_SI_29cm,Y2_SI_1cm,Y2_SI_29cm,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
Taurohyodeoxycholic Acid(THDCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycoursocholanic Acid(GUCA),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurodeoxycholic Acid(TDCA),,12.76387512,7.188151413,7.502819096,48.27190708,42.42167826,35.84567418,112.3350953,61.77794098,10.5049586,11.93337322,3.660469759,24.53193676,8.840474618,1.676746209,32.35786572,71.03911152,23.23466486,17.51060275,39.29832818,37.23954821,2.242108439,76.32960269,4.411533862,7.568131475,12585.14938,27979.82262,3.567593799,0,1963.853337,8.589433611,911.6085251,353.5000625,8.078791371,14.03997376,0,77.36874909,37.17802903,35.86320849,81.61610724,14.08261327,2829.884096,1158.6723,2406.669684,24201.46337,5995.281597,4597.767662,2193.041113,2204.575323,2037.683233,2167.594793,2095.838637,2142.15842,2046.937402,2138.418495
"7,12-Diketolithocholic Acid(7,12-DKLCA)",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taurolithocholic acid-3-sulfate,,0,0,0,0,372.2092051,0,588.7994483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.6984057,0,0,1305.554226,3076.478904,0,0,881.1079277,0,684.4720615,343.7978643,0,0,0,0,0,0,0,0,0,0,0,2077.532465,444.8839359,449.8347104,423.9773842,430.5198954,416.1508982,430.0902432,401.675515,402.0863775,389.2614508,396.4206663
Dehydrolithocholic acid,,3378.967209,2611.726725,1792.19349,7310.136866,28396.40378,6952.719514,4301.658706,6446.46054,10858.01932,11335.6199,4665.815506,5213.828984,10314.1892,2484.287615,4178.544792,5159.584884,1966.146983,1995.732918,8340.896151,3067.39407,0,0,0,0,0,0,0,0,0,232.6787064,0,0,7216.196239,8380.154862,1420.999588,10697.86067,5800.91494,4623.059231,18084.9859,2675.33731,0,0,0,0,0,0,3328.906662,3674.224248,3218.652784,4076.921828,3370.250645,3554.228886,3917.724457,3896.566808
"6,7-Diketolithocholic Acid(6,7-DLCA)",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nor-Desoxycholic Acid(23-Nor-DCA),,0,9.513801543,18.62793311,76.29286135,40.2396453,0,1591.720246,256.3385365,52.48776121,29.14270183,0,20.30519553,24.96645144,0,20.40479168,56.15298589,0,0,95.73604522,147.0134029,0,0,0,0,19.42210204,291.3689623,0,0,19.81675391,0,108.562104,24.09441685,63.83019255,23.03993094,47.74661651,93.7854508,22.44311519,0,234.2287557,73.54908087,0,0,0,37.10650975,0,0,74.25514724,89.68539266,87.79397665,71.91925807,89.58067677,76.05953076,68.40469819,84.11114623
Glycodehydrocholic acid,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum,,8647.08278,226058.879,352738.4896,1602179.346,696142.8833,563861.6443,1423090.785,843027.4998,2165183.116,904499.7871,268487.7066,607789.8857,697546.086,195609.5192,771495.6824,917400.5495,497756.5729,132072.1297,777699.9398,803761.2303,34.01217708,4033.758233,37.16327906,23.47836869,331958.022,789937.5308,29.6953732,14.18655315,48779.88543,1068.650984,18555.07536,7736.482646,652243.9842,573267.227,334039.8443,2794098.627,563485.8866,399763.5878,1037048.744,260548.4758,79554.27446,41811.31535,46883.21147,178594.3501,84054.42644,71574.71081,409959.9599,438445.3745,433886.7282,571752.0577,449078.8178,539351.5288,495139.9319,553171.9942
